№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables
88	Консьержка раз в месяц мыла	полы	169	3	27	полы 43, пол 41, окна 39, подъезд 13, лестницу 4, посуду 4, раму 2, дверь 2, окно 2, парадную 2, ступеньки 1, лестницы 1, полы в подъезде 1, лифт 1, ноги 1, голову 1, лестничную клетку 1, полы в коридоре 1, тамбур 1, двери 1, руки 1, зеркало 1, вазу 1, лестничный пролет 1, площадку 1, мужа-инвалида 1, стойку 1	25.443787	3.074102	181.9	2
89	Семейная пара мечтала следующим летом отдохнуть в	Крыму	172	0	57	Крыму 26, Турции 20, Сочи 13, горах 12, Испании 9, Италии 8, санатории 8, Египте 8, Греции 4, Ялте 4, Болгарии 3, деревне 3, пансионате 3, Грузии 2, Европе 2, Тайланде 2, городе 2, Франции 2, Англии 2, Китае 2, Карелию 1, Пицунде 1, Одессе 1, Исландии 1, Париже 1, Подмосковье 1, Волгограде 1, саду 1, Москве 1, Голландии 1, Японии 1, лесу 1, Гаграх 1, Норвегии 1, Таиланде 1, Анапе 1, Краснодаре 1, Новосибирске 1, Африке 1, Азии 1, Нью-Йорке 1, Праге 1, одиночестве 1, Лондоне 1, Канарах 1, круизе 1, Новой Зеландии 1, Бали 1, на курорте 1, другой стране 1, море 1, теплых краях 1, коттедже 1, Тибете 1, Геленджике 1, Америке 1, космосе 1	15.116279	4.841560	NA	2
90	В зоопарке дети впервые увидели	слона	169	3	38	слона 63, жирафа 26, зебру 11, льва 10, бегемота 6, тигра 6, медведя 5, крокодила 5, обезьяну 4, носорога 2, верблюда 2, фламинго 2, слонов 2, кенгуру 1, свиней 1, игуану 1, лошадь 1, зверей 1, орангутанга 1, Ельцина 1, мангуста 1, стрекозу 1, шимпанзе 1, ламу 1, кошку 1, рысь 1, мамонта 1, бородавочника 1, змею 1, животное 1, гуся 1, леопарда 1, гиппопотама 1, пингвина 1, енота 1, панду 1, лося 1, взрослых 1	37.278107	3.612170	23.8	2
91	На рынке фермер недорого продавал 	овощи	169	3	57	овощи 25, молоко 17, мясо 14, картошку 12, капусту 11, огурцы 9, помидоры 7, яблоки 7, фрукты 6, рыбу 4, корову 3, картофель 3, морковку 2, зелень 2, арбузы 2, колбасу 2, дыни 2, клубнику 2, масло 1, телятину 1, свою мясную продукцию 1, бананы 1, ягоды 1, мясо кур 1, капустку 1, мед 1, эскимо 1, тыкву 1, поросят 1, кур 1, крольчатину 1, мандарины 1, творог 1, укроп 1, мебель 1, козу 1, редьку 1, курицу 1, дыню 1, удочки 1, морковь 1, мяту 1, продукцию 1, теленка 1, сыр 1, булки 1, апельсины 1, репу 1, пряники 1, чеснок 1, шерсть 1, кабачки 1, яиц 1, овес 1, свинину 1, яйца 1, тыквы 1	14.792899	4.839865	1.6	3
92	Посетители радостно фотографировались на фоне	памятника	169	3	75	памятника 14, фонтана 11, природы 10, картины 10, пейзажа 6, елки 5, башни 5, моря 5, слона 4, достопримечательностей 4, замка 4, леса 3, дерева 3, Эйфелевой башни 3, музея 3, озера 3, неба 3, Кремля 3, дома 3, статуи 3, выставки 2, сосны 2, деревьев 2, водопада 2, гор 2, здания 2, заката 2, реки 2, церкви 2, дворца 1, чучела 1, ели 1, вольера 1, лебедя 1, аптеки 1, пейзаж 1, картин 1, скамьи 1, библиотеки 1, карет 1, сада 1, пожара 1, университета 1, фонана 1, генерала 1, мэра 1, берез 1, зимнего пейзажа 1, обезьянки 1, экспоната 1, местных достопримечательностей 1, борща 1, меня 1, облаков 1, пальмы 1, огромной горы 1, айзберга 1, зоопарка 1, стола 1, китайцев 1, чистого неба 1, звезды 1, достопримечательности 1, собора 1, океана 1, Красной Площади 1, Домского собора 1, асфальта 1, горы 1, крокодила 1, развалин 1, лужайке 1, стены 1, куста 1, лесного массива 1	8.284024	5.667578	63.8	4
93	Депутат обвинил мэра в	коррупции	169	3	55	коррупции 51, воровстве 9, лжи 8, взятке 7, халатности 7, взяточничестве 6, растрате 6, краже 5, взяточнистве 5, мошенничестве 5, подлоге 4, измене 4, некомпетентности 3, взятках 3, бездействии 2, нечестности 2, растратах 2, преступлении 2, предвзятости 2, стяжательстве 1, недостаточном усердии 1, приписках 1, клевете 1, предательстве 1, недопустимом отношении к чему-то 1, надувательстве 1, взятничестве 1, расточительстве 1, недобропорядочности 1, грязных делах 1, махинации 1, ошибке 1, использовании лишних средств 1, тунеядстве 1, некорректности 1, нарушениях 1, хищениях 1, мошинничестве 1, проступке 1, нечистоплотности 1, похищении денег 1, мздоимстве 1, изнасиловании 1, кокетничестве 1, подлоге документов 1, некомпетенции 1, взятчестве 1, жульничестве 1, хищении 1, махинациях 1, недопустимости 1, жестокости 1, равнодушии 1, глупости 1, превышении полномочий 1	30.177515	4.545943	23.0	4
94	Выходя из дома, я забыла взять 	ключи	169	3	30	ключи 48, зонт 26, зонтик 20, сумку 14, телефон 12, деньги 7, кошелек 6, паспорт 4, портфель 3, проездной 3, шарф 3, шапку 2, очки 2, голову 2, ключ 2, пропуск 1, бумажник 1, варежки 1, помаду 1, проездной билет 1, документы 1, перчатки 1, кашне 1, пуанты 1, сумочку 1, шубу 1, часы 1, ноутбук 1, платок 1, носки 1	28.402367	3.622911	78.0	2
95	Директор ещё не вернулся из	командировки	171	1	16	командировки 84, отпуска 67, школы 6, РОНО 2, бани 1, комадировки 1, дома 1, класса 1, ГорОНО 1, поездки 1, декрета 1, санатория 1, боя 1, РайОНО 1, администрации 1, деревни 1	49.122807	1.798599	27.2	5
96	В этом кафе студент всегда заказывал	кофе	172	0	44	кофе 42, пиццу 34, обед 12, чай 11, суп 6, мороженое 4, яичницу 4, завтрак 4, борщ 4, салат 3, пирожное 3, пиво 3, торт 3, суши 3, латте 2, пунш 2, одно и то же 2, ланч 2, бутерброд 2, еду 2, выпивку 1, пончик 1, пирожные 1, поесть 1, рыбу 1, харчо 1, бульон 1, блинчики 1, мороженное 1, гамбургер 1, первое 1, сосиски 1, коньяк 1, круассаны 1, капучино 1, компот 1, стол 1, пончики 1, мохито 1, винегрет 1, чебуреки 1, бизнес-ланч 1, брокколи 1, сырники 1	24.418605	4.148308	61.6	2
97	Графиня хранила драгоценности в 	шкатулке	165	7	24	шкатулке 97, сейфе 14, шкафу 12, сундуке 7, ларце 6, комоде 5, сундучке 3, ящике 3, чемодане 2, секретере 2, вазе 1, кувшине 1, чулках 1, подушке 1, серванте 1, банке 1, ушах 1, потайном шкафу 1, комнате 1, кубышке 1, кошельке 1, тумбочке 1, бюро 1, ночном горшке 1	58.787879	2.537263	5.3	3
98	На праздник мама подарила сыну	велосипед	167	5	70	велосипед 23, машину 16, подарок 13, телефон 13, машинку 9, компьютер 9, игрушку 5, книгу 4, автомобиль 4, свитер 3, портфель 2, вертолет 2, самокат 2, конструктор 2, рюкзак 2, гитару 2, самолет 2, костюм 2, отвертку 1, игрушки 1, самолетик 1, кофту 1, фотоаппарат 1, айфон 1, пакет 1, ноутбук 1, тетрадь 1, робота 1, валенки 1, альбом 1, автомат 1, принтер 1, медвежонка 1, колье 1, собаку 1, шкаф 1, брюки 1, деньги 1, шоколадку 1, конфету 1, кошелек 1, трансформера 1, плеер 1, вертолетик 1, часы 1, лошадку 1, обувь 1, каякерское весло 1, ящик 1, пальто 1, шпагу 1, мотоцикл 1, компот 1, магнитофон 1, рогатку 1, кружку 1, дерево 1, очки 1, мяч 1, футбольный мяч 1, ручку 1, торт 1, шар 1, новую рубашку 1, трактор 1, платок 1, сумку 1, коньки 1, паровоз 1, цветы 1	13.772455	5.170072	23.1	4
99	Художник изобразил на картине	пейзаж	168	4	73	пейзаж 27, море 16, природу 10, лес 8, дерево 7, девушку 7, натюрморт 6, лошадь 4, себя 4, закат 4, женщину 3, солнце 3, собаку 2, лето 2, квадрат 2, апельсин 2, пятно 2, гору 2, медведя 2, цветы 2, кота 1, маслом 1, озеро 1, балерину 1, реку 1, человека 1, дом 1, кошечку 1, речку 1, баню 1, портрет 1, облик Мадонны 1, корабль 1, замок 1, поэта 1, крота 1, Мадонну 1, Моне 1, пса 1, пингвина 1, нечто 1, сестру 1, баталию 1, восход 1, девочку 1, Машу 1, зверя 1, трех богатырей 1, улицу 1, нож 1, осень 1, натурщицу 1, весну 1, лук 1, скамью 1, ливень 1, енота 1, женщин 1, полоску 1, небо 1, львов 1, живопись 1, пейзажи 1, стадо 1, жирафа 1, девятый вал 1, вазу 1, рисунок 1, лед 1, жену 1, окно 1, елку 1, полумесяц 1	16.071429	5.285628	24.3	2
100	Мы вернулись в кафе и забрали забытый	кошелек	170	2	33	кошелек 28, телефон 26, портфель 23, чемодан 16, зонт 15, зонтик 12, рюкзак 8, счет 3, пакет 3, шарф 3, чай 3, завтрак 2, предмет 2, ноутбук 2, сверток 2, компьютер 2, пенал 2, багаж 2, плащ 2, чайник 1, стул 1, кейс 1, планшет 1, ужин 1, фотоаппарат 1, девайс 1, кофе 1, пиджак 1, билет 1, цветок 1, портсигар 1, мешок 1, паспорт 1	16.470588	3.965263	11.4	3
101	Наместник императора прославился своей	жестокостью	161	11	61	жестокостью 51, добротой 11, храбростью 7, эрудицией 5, хитростью 5, мудростью 4, жадностью 4, смелостью 4, щедростью 3, победой 3, работой 3, гордостью 3, красотой 3, честностью 2, преданностью 2, злостью 2, глупостью 2, привлекательностью 2, находчивостью 2, алчностью 2, проницательностью 1, работоспособностью 1, прямотой 1, разорительностью 1, строгостью 1, подготовкой 1, славой 1, безграмотностью 1, учтивостью 1, наглостью 1, сдержанностью 1, арфой 1, изысканностью 1, черствостью 1, женой 1, твердолобостью 1, предосудительностью 1, пунктуальностью 1, решительностью 1, внешностью 1, гостеприимностью 1, веселостью 1, добродушностью 1, смекалкой 1, заботой 1, игрой 1, откровенностью 1, вспыльчивостью 1, отвагой 1, грамотностью 1, политикой 1, тупостью 1, силой 1, дерзостью 1, инициативой 1, искренностью 1, справедливостью 1, убедительностью 1, сообразительностью 1, неуживчивостью 1, доблестью 1	31.677019	4.647733	15.8	4
102	Туристы восхищались живописной	природой	169	3	24	природой 67, картиной 48, местностью 21, панорамой 5, долиной 4, рекой 4, площадью 2, улицей 2, бухтой 1, церковью 1, окрестностью 1, равниной 1, доминой 1, картине 1, обстановкой 1, фауной 1, травой 1, амбразурой 1, скалой 1, галереей 1, статуей 1, окрестностями 1, группой 1, архитектурой 1	39.644970	2.676888	169.9	3
103	Девушка надела бордовые	туфли	171	1	35	туфли 27, сапоги 21, босоножки 16, брюки 15, штаны 14, колготки 13, джинсы 8, чулки 6, перчатки 6, лосины 5, леггинсы 5, кроссовки 4, сапожки 3, носки 3, ботинки 3, трусы 2, гольфы 2, штиблеты 1, лабутены 1, варежки 1, пальто 1, платье 1, шлепанцы 1, сережки 1, гетры 1, трусишки 1, шорты 1, ботфорты 1, лодочки 1, башмаки 1, рукавички 1, стринги 1, балетки 1, кольца 1, галоши 1	15.789474	4.206530	23.2	2
104	Дошкольник взял фломастер и нарисовал оранжевый	круг	170	2	40	круг 64, шар 21, апельсин 19, цветок 14, шарик 5, букет 4, дом 3, предмет 3, вертолет 2, верблюд 2, пейзаж 2, квадрат 2, мяч 2, галстук 1, берег 1, поезд 1, автобус 1, арбуз 1, велосипед 1, мир 1, взрыв 1, стол 1, портрет 1, шарф 1, листок 1, лист 1, песок 1, паровоз 1, треугольник 1, слон 1, цветочек 1, домик 1, закат 1, портфель 1, самокат 1, сарай 1, жилет 1, номер 1, рассвет 1, дуб 1	37.647059	3.589558	157.4	1
105	Сестра волновалась перед важным	экзаменом	171	1	21	экзаменом 65, событием 48, собеседованием 11, свиданием 9, совещанием 7, собранием 5, мероприятием 4, зачетом 3, делом 3, выступлением 3, занятием 2, днем 2, интервью 1, клиентом 1, шагом 1, дедлайном 1, экспериментом 1, докладом 1, концертом 1, выходом 1, визитом 1	38.011696	2.835157	45.4	4
106	Из шкафа мама достала старую	шубу	169	3	48	кофту 22, шубу 22, шаль 15, одежду 14, книгу 9, шляпу 8, куртку 5, посуду 5, скатерть 4, сумку 4, юбку 4, вещь 4, шапку 3, книжку 3, тетрадь 3, куклу 3, вазу 3, чашку 2, пижаму 2, шкатулку 2, простынь 2, игрушку 2, фотографию 2, рубашку 2, простыню 1, косынку 1, футболку 1, гармошку 1, картинку 1, занавеску 1, надежду 1, пластинку 1, копилку 1, клеенку 1, шляпку 1, обувь 1, жилетку 1, блузку 1, рухлядь 1, ложку 1, столешницу 1, балалайку 1, картину 1, кровать 1, коробку 1, шинель 1, корзину 1, бабушку 1	13.017751	4.716593	18.7	2
107	Вернувшись в офис после отпуска, секретарша заметила новый	стол	169	3	42	стол 48, компьютер 27, шкаф 12, стул 7, телефон 7, принтер 6, диван 5, цветок 5, предмет 4, телевизор 4, ноутбук 4, интерьер 3, холодильник 3, сервиз 2, прибор 2, порядок 2, ковер 2, календарь 2, плакат 1, кулер 1, стенд 1, комод 1, гарнитур 1, чайник 1, торшер 1, рабочий стол 1, элемент порядка 1, наряд 1, портфель 1, кондиционер 1, журнал 1, замок 1, письменный стол 1, распорядок дня 1, планшет 1, альбом 1, поршень 1, аппарат 1, гардероб 1, офис 1, парк 1, кабинет 1	28.402367	4.081226	402.5	1
108	На кухне дочка доедает вкусный	пирог	170	2	21	пирог 60, торт 24, обед 17, завтрак 9, борщ 9, суп 8, бутерброд 7, ужин 7, пирожок 6, салат 4, десерт 4, омлет 4, тортик 2, кисель 2, чай 1, арбуз 1, миндаль 1, маффин 1, носок 1, пудинг 1, чизкейк 1	35.294118	3.304622	16.3	2
109	Прохожие еле разминулись на узкой	тропинке	171	1	8	тропинке 96, дорожке 21, дороге 17, улице 16, улочке 9, тропе 9, лестнице 2, трубке 1	56.140351	2.055627	15.5	3
110	В киоске продавались сувениры из светло-серой	бумаги	159	13	27	глины 36, бумаги 36, ткани 19, керамики 12, кожи 10, замши 6, пластмассы 6, шерсти 5, материи 4, пряжи 3, фольги 3, стали 3, краски 2, газеты 1, массы 1, пластилины 1, оригами 1, фланели 1, глазури 1, бронзы 1, пластины 1, фарфора 1, парчи 1, альбом 1, коллекции 1, комнаты 1, картонки 1	22.641509	3.563965	155.8	3
111	Ассистент обратился за помощью к своей	помощнице	170	2	37	помощнице 20, подруге 18, начальнице 17, руководительнице 14, секретарше 11, учительнице 10, маме 7, коллеге 6, студентке 5, жене 5, знакомой 5, преподавательнице 5, соседке 5, бабушке 4, напарнице 4, сестре 3, медсестре 2, наставнице 2, сотруднице 2, лаборантке 2, матери 2, ассистентке 2, однокурснице 2, сокурснице 2, спутнице 2, научной руководительнице 2, практикантке 1, подассистентке 1, научнице 1, тете 1, подручной 1, адъютантке 1, ассистентше 1, любовнице 1, ученице 1, одногруппнице 1, абитуриентке 1	11.764706	4.529835	3.9	4
112	Лектор увлечённо рассказывал о недавнем	происшествии	167	5	25	происшествии 52, событии 45, случае 15, путешествии 13, инциденте 4, эксперименте 4, открытии 4, приключении 4, экзамене 3, прошлом 3, походе 3, мероприятии 2, опыте 2, времени 2, семинаре 1, свидании 1, посещении 1, посещении занятия 1, теракте 1, заседании 1, отпуске 1, диспуте 1, будущем 1, споре 1, заявлении 1	31.137725	3.176938	23.6	5
113	Андрей устал нести тяжёлый	чемодан	169	3	21	чемодан 49, рюкзак 38, груз 33, пакет 15, портфель 13, мешок 5, саквояж 2, предмет 1, шкаф 1, ящик 1, ананас 1, багаж 1, баул 1, бред 1, ранец 1, компьютер 1, сундучок 1, поединок 1, сумку 1, крест 1, груз бытия 1	28.994083	2.895993	42.8	3
114	Грабители украли из квартиры ценный	предмет	157	15	49	предмет 30, подарок 16, груз 11, сервиз 7, телевизор 7, экспонат 7, артефакт 6, антиквариат 6, товар 5, сувенир 5, гарнитур 4, документ 3, материал 3, компьютер 3, магнитофон 3, портрет 3, портфель 2, экземпляр 2, шкаф 2, кошелек 2, сундук 2, сервант 1, абажаур 1, башмак 1, ковер 1, кулон 1, диван 1, пакет документов 1, амулет 1, кейс 1, клад 1, приз 1, чемодан 1, ноутбук 1, альбом 1, пылесос 1, стул 1, браслет 1, кирпич 1, перстень 1, антиквар 1, секретер 1, девайс 1, металл 1, сервис 1, сейф 1, объект 1, сосуд 1, ключ 1	19.108280	4.719919	154.4	2
115	Моя крестница живёт прямо напротив местного	магазина	168	4	72	магазина 22, театра 9, клуба 9, музея 7, универмага 7, банка 6, кинотеатра 5, дома 4, рынка 4, супермаркета 4, бара 4, самоуправления 3, общежития 3, университета 3, загса 3, кладбища 3, парка 3, дома культуры 3, телеграфа 3, собора 3, храма 2, ателье 2, жэка 2, универсама 2, почтамта 2, борделя 2, зоопарка 2, отделения милиции 2, катка 1, дворца 1, госпиталя 1, управления 1, дурдома 1, монумента 1, домоправления 1, роддома 1, адвоката 1, ДК 1, парткома 1, детского сада 1, домоуправления 1, почтового отделения 1, райцентра 1, исполкома 1, драмтеатра 1, полицейского 1, приюта 1, Кремля 1, РУВД 1, детсада 1, училища 1, муниципалитета 1, жэк 1, УВД 1, отделения почты 1, цирка 1, удара 1, кафе 1, почтальона 1, двора 1, кино 1, отдела полиции 1, отделения 1, ресторана 1, планетария 1, медпункта 1, прихода 1, участка 1, ларька 1, отеля 1, управдома 1, мвд 1	13.095238	5.532898	147.2	4
116	Ирина зашла на вещевой рынок и купила недорогую	сумку	170	2	42	сумку 22, вещь 15, шубу 15, одежду 13, кофту 11, блузку 10, юбку 10, обувь 9, куртку 6, посуду 6, футболку 5, шапку 4, шаль 4, кофточку 4, сумочку 3, вазу 3, вещицу 2, шубку 2, ткань 2, мебель 2, обувку 1, скатерть 1, брошь 1, картошку 1, дубленку 1, ягоду 1, блузу 1, утварь 1, еду 1, шкатулку 1, книгу 1, рыбу 1, бижутерию 1, обновку 1, шмотку 1, игрушку 1, тунику 1, шинель 1, кровать 1, кастрюлю 1, одежку 1, шляпку 1	12.941176	4.582447	55.5	2
117	Парижанин с гостьей гуляли по окрестным	улицам	156	16	36	улицам 35, местам 31, паркам 11, улочкам 11, полям 10, достопримечательностям 9, дворам 4, лесам 4, деревням 4, местностям 4, городам 3, селам 3, дорогам 2, лугам 2, барам 2, кабакам 1, селениям 1, бульварам 1, предместьям 1, набережным 1, областям 1, Елисейским полям 1, площадям 1, садам 1, окраинам 1, скверам 1, аррондисманам 1, кварталам 1, околицам 1, горам 1, дворикам 1, пейзажам 1, районам 1, домам 1, улицам Лондона 1, задворкам 1	22.435897	3.961871	337.8	3
118	Анна обожала посещать субботние	вечера	171	1	30	вечера 48, вечеринки 29, концерты 21, мероприятия 12, дискотеки 8, посиделки 6, встречи 6, танцы 5, выставки 4, лекции 4, чтения 3, утренники 3, спектакли 2, заседания 2, тренировки 2, тренинги 2, тусовки 1, песнопения 1, курсы 1, пары 1, службы 1, дни 1, поезда 1, беседы 1, театр 1, гитарники 1, представления 1, митинги 1, слушанья 1, занятия 1	28.070175	3.649684	335.4	3
119	Всю жизнь дедушка собирал антикварные	вещи	171	1	36	вещи 65, предметы 19, марки 14, монеты 12, часы 12, украшения 5, книги 4, статуэтки 4, картины 3, ложки 3, изделия 3, шкатулки 2, вещицы 2, приборы столовые 1, столовые приборы 1, зажигалки 1, наперстки 1, тарелки 1, книжки 1, стаканы 1, картинки 1, серьги 1, столики 1, машинки 1, маски 1, бабушки 1, расчески 1, лампы 1, вазы 1, ручки 1, штуки 1, самогонные аппараты 1, кружки 1, произведения 1, машины 1, чаши 1	38.011696	3.573520	242.5	2
